protein_ids,symbol,log2FoldChange,baseMean,padj,GO_id,GO_term
g4731.t1,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0005524,ATP binding
g4731.t1,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0005536,D-glucose binding
g7126.t1,g7126,0.667261617946133,441.502159567837,2.10952096598656e-05,GO:0043087,regulation of GTPase activity
g1850.t1,g1850,0.667101922280814,109.189924920071,0.0302169258126834,nan,
g1669.t1,g1669,0.666447863487946,4826.37224761819,0.0003512250213451,nan,
g12071.t1,g12071,0.66637105779415,14916.2894300931,8.30439581632015e-08,nan,
g2179.t1,g2179,0.666358496099154,30159.595626953,0.0017476587752903,nan,
g147.t1,g147,0.666107883117629,396.435765065416,3.23744415115677e-06,nan,
g1959.t1,g1959,0.665113499183632,4796.18355872224,2.27210919822077e-06,GO:0005515,protein binding
g1959.t1,g1959,0.665113499183632,4796.18355872224,2.27210919822077e-06,GO:0005737,cytoplasm
g4808.t1,g4808,0.664685921156247,294.423166134019,5.01356376188775e-07,GO:0003677,DNA binding
g4808.t1,g4808,0.664685921156247,294.423166134019,5.01356376188775e-07,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
g4808.t1,g4808,0.664685921156247,294.423166134019,5.01356376188775e-07,GO:0006355,regulation of DNA-templated transcription
g4808.t1,g4808,0.664685921156247,294.423166134019,5.01356376188775e-07,GO:0006351,DNA-templated transcription
g4808.t1,g4808,0.664685921156247,294.423166134019,5.01356376188775e-07,GO:0008270,zinc ion binding
g1394.t1,g1394,0.66462299535753,1866.66356484696,4.09901220047843e-10,GO:0003677,DNA binding
g1394.t1,g1394,0.66462299535753,1866.66356484696,4.09901220047843e-10,GO:0032549,ribonucleoside binding
g1394.t1,g1394,0.66462299535753,1866.66356484696,4.09901220047843e-10,GO:0006351,DNA-templated transcription
g1394.t1,g1394,0.66462299535753,1866.66356484696,4.09901220047843e-10,GO:0003899,DNA-directed RNA polymerase activity
g13378.t1,g13378,0.664574192586787,3559.9710411475,1.68570065756479e-10,nan,
g6867.t1,g6867,0.663847529767266,304.481007694047,2.87710773535114e-06,GO:0015031,protein transport
g6867.t1,g6867,0.663847529767266,304.481007694047,2.87710773535114e-06,GO:0005525,GTP binding
g6867.t1,g6867,0.663847529767266,304.481007694047,2.87710773535114e-06,GO:0003924,GTPase activity
g11580.t1,g11580,0.662990839889825,566.765436802929,2.16218399038475e-10,GO:0005515,protein binding
g427.t2,g427,0.662012027208827,1134.24893680366,3.33193737493637e-08,GO:0016020,membrane
g427.t2,g427,0.662012027208827,1134.24893680366,3.33193737493637e-08,GO:0055085,transmembrane transport
g427.t1,g427,0.662012027208827,1134.24893680366,3.33193737493637e-08,GO:0016020,membrane
g427.t1,g427,0.662012027208827,1134.24893680366,3.33193737493637e-08,GO:0055085,transmembrane transport
g1837.t2,g1837,0.661957311514092,12082.1123555849,3.59450985296344e-10,GO:0098656,monoatomic anion transmembrane transport
g1837.t2,g1837,0.661957311514092,12082.1123555849,3.59450985296344e-10,GO:0008308,voltage-gated monoatomic anion channel activity
g1837.t2,g1837,0.661957311514092,12082.1123555849,3.59450985296344e-10,GO:0055085,transmembrane transport
g1837.t2,g1837,0.661957311514092,12082.1123555849,3.59450985296344e-10,GO:0005741,mitochondrial outer membrane
